subject,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S13,S14,S15,S16,S17,total
DT_AUC,0.715249285,0.69690028,0.783216532,0.72063775,0.783915517,0.697219877,0.73270683,0.661728395,0.607345501,0.65997027,0.653965849,0.743230551,0.7097791,0.78017353,0.596389802,0.702828605
RF_AUC,0.739691429,0.755847953,0.786666667,0.698375916,0.703703704,0.754385965,0.720277778,0.668518519,0.509493372,0.777777778,0.753733766,0.743710919,0.711200913,0.783950617,0.77589046,0.725548384
AB_AUC,0.673751294,0.806428315,0.876945193,0.69845514,0.726306337,0.775428433,0.699603175,0.795679012,0.731878527,0.710748792,0.67482684,0.778090428,0.827917461,0.769005848,0.655051264,0.746674404
KN_AUC,0.784607463,0.801270417,0.800179695,0.721603288,0.754379766,0.728316446,0.746547619,0.803395062,0.798487467,0.76489533,0.760220058,0.66164211,0.703088528,0.750283992,0.736435408,0.754356843
LDA_AUC,0.72822852,0.804844167,0.786666667,0.745098039,0.711466661,0.684867248,0.71765873,0.814814815,0.86678812,0.769707078,0.753733766,0.722000076,0.684096572,0.783950617,0.776970853,0.756726129
SVM_AUC,0.748964803,0.786712151,0.786666667,0.723880967,0.742805692,0.737006286,0.770833333,0.690123457,0.846718253,0.777777778,0.745183983,0.654655578,0.720367999,0.769005848,0.787374812,0.752538507
GB_AUC,0.724605331,0.783523832,0.722264151,0.647157853,0.781623356,0.693557088,0.688769841,0.848765432,0.606555952,0.761963309,0.752358105,0.717539429,0.683440606,0.783950617,0.678605392,0.724978686
DT_F1,0.605327245,0.555505573,0.671554252,0.649230769,0.704954955,0.611658456,0.622710623,0.531465338,0.428571429,0.51,0.515974967,0.614322014,0.590558361,0.678431373,0.449166588,0.582628796
RF_F1,0.592628832,0.575587607,0.636363636,0.564814815,0.56069439,0.627705628,0.58436214,0.516666667,0.231271688,0.620512821,0.598214286,0.60034188,0.618470418,0.630630631,0.601369863,0.570642353
AB_F1,0.554202899,0.69408867,0.810628019,0.612068966,0.623509286,0.707253208,0.573352573,0.709755337,0.617592593,0.574712644,0.526406926,0.652574003,0.709235209,0.617657658,0.511746196,0.632985612
KN_F1,0.679585559,0.663492063,0.702415459,0.576668945,0.656616801,0.612612613,0.614035088,0.771953405,0.707253208,0.610989011,0.694603175,0.521568627,0.606249091,0.651952655,0.558441558,0.641895817
LDA_F1,0.594729345,0.66123302,0.636363636,0.62962963,0.571502058,0.584541063,0.590225564,0.752419022,0.839381559,0.669074647,0.598214286,0.590990991,0.590951532,0.630630631,0.586452763,0.635089316
SVM_F1,0.609275943,0.604510884,0.636363636,0.538412698,0.600645321,0.617777778,0.628691983,0.532352941,0.780051151,0.620512821,0.583732057,0.523887524,0.65707196,0.617657658,0.590196078,0.609409362
GB_F1,0.590797331,0.642815553,0.60625,0.575384615,0.714840715,0.59047619,0.562753036,0.78245614,0.44054068,0.599942479,0.667008547,0.565146199,0.566885965,0.630630631,0.529508197,0.604362419
DT_ACC,0.763636364,0.660714286,0.733333333,0.641509434,0.803278689,0.58490566,0.779661017,0.650793651,0.428571429,0.6,0.627118644,0.765625,0.629032258,0.783333333,0.459016393,0.660701966
RF_ACC,0.8,0.803571429,0.883333333,0.698113208,0.786885246,0.830188679,0.796610169,0.73015873,0.365079365,0.836363636,0.813559322,0.78125,0.725806452,0.866666667,0.836065574,0.770243454
AB_ACC,0.690909091,0.821428571,0.883333333,0.547169811,0.786885246,0.754716981,0.745762712,0.761904762,0.666666667,0.709090909,0.711864407,0.8125,0.741935484,0.85,0.62295082,0.740474586
KN_ACC,0.679585559,0.663492063,0.702415459,0.576668945,0.656616801,0.612612613,0.614035088,0.771953405,0.707253208,0.610989011,0.694603175,0.521568627,0.606249091,0.651952655,0.558441558,0.641895817
LDA_ACC,0.781818182,0.839285714,0.883333333,0.830188679,0.786885246,0.679245283,0.762711864,0.825396825,0.888888889,0.763636364,0.813559322,0.75,0.677419355,0.866666667,0.819672131,0.797913857
SVM_ACC,0.818181818,0.839285714,0.883333333,0.754716981,0.819672131,0.79245283,0.847457627,0.761904762,0.857142857,0.836363636,0.796610169,0.65625,0.741935484,0.85,0.836065574,0.806091528
GB_ACC,0.781818182,0.803571429,0.7,0.566037736,0.836065574,0.698113208,0.728813559,0.857142857,0.428571429,0.8,0.779661017,0.75,0.693548387,0.866666667,0.639344262,0.72862362
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ACC(avg),F1(avg)
,,,,,,,,,,,,,,,0.736399742,0.611001954
